2012,Sinister,6.7,A true-crime writer finds a cache of 8mm home movies films that suggest the murder he is currently researching is the work of a serial killer whose career dates back to the 1960s.,6600
1985,The Goonies,7.6,A group of kids embark on a wild adventure after finding a pirate treasure map.,6840
2010,Percy Jackson & the Olympians: The Lightning Thief,5.8,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,7080
2010,Scott Pilgrim vs. the World,7.5,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,6720
1998,American History X,8.6,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,7140
1982,E.T. the Extra-Terrestrial,7.9,A troubled child summons the courage to help a friendly alien escape Earth and return to his home-world.,6900
2003,The Lord of the Rings: The Return of the King,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,12060
2014,Sin City: A Dame to Kill For,,The town's most hard boiled citizens cross paths with some of its more reviled inhabitants.,
2013,Grudge Match,,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,
2013,The Secret Life of Walter Mitty,,An office worker who lives inside fantasy worlds where he gets to live an adventurous life while romancing his co-worker sets off a global journey to fix things when both of their jobs are threatened.,
2013,Drinking Buddies,6.1,,5400
2008,Pineapple Express,6.9,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witness his dealer's boss murder a competitor while trying to serve papers on him.,6660
2013,Europa Report,6.5,An international crew of astronauts undertakes a privately funded mission to search for life on Jupiter's fourth largest moon.,5400
2013,How I Live Now,6.8,An American girl on holiday in the English countryside with her family finds herself in hiding and fighting for her survival as the third world war breaks out.,6060
2008,Cloverfield,7.1,Revolves around a monster attack in New York as told from the point of view of a small group of people.,5100
2010,Easy A,7.1,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,5520
2004,The Punisher,6.3,An undercover FBI agent becomes a vigilante assassin and sets out to unleash vengeance upon the corrupt businessman who slew his family.,7440
2012,Lo imposible,7.5,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,6840
1994,Leon,8.6,A professional assassin rescues a young girl whose parents were killed in a police raid.,6600
1989,Dead Poets Society,7.9,English teacher John Keating inspires his students to a love of poetry and to seize the day.,7680
2011,Paul,7,Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.,6240
2010,Love & Other Drugs,6.6,A woman suffering from Parkinson's befriends a drug rep working for Pfizer against 1990s Pittsburgh backdrop.,6720
2014,About Last Night,,Follow two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.,
1995,Heat,8.3,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,10200
2007,No Country for Old Men,8.2,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,7320
2002,Lilo & Stitch,7,A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive from the law.,5100
2013,Blue Caprice,6,An abandoned boy is lured to America and drawn into the shadow of a dangerous father figure. Inspired by the real life events that led to the 2002 Beltway sniper attacks.,5580
2016,Pirates of the Caribbean: Dead Men Tell No Tales,,The fifth installment of the blockbuster franchise that follows the adventures of Captain Jack Sparrow.,
2013,Identity Thief,5.6,Mild-mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless-looking woman who has been living it up after stealing Sandy's identity.,6660
2005,Harry Potter and the Goblet of Fire,7.5,Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,9420
2013,47 Ronin,,A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,
2010,Burlesque,6.1,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,7140
1957,12 Angry Men,8.9,A dissenting juror in a murder trial slowly manages to convince the others that the case is not as obviously clear as it seemed in court.,5760
1996,Romeo + Juliet,6.8,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,7200
1975,The Rocky Horror Picture Show,7.2,A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.,6000
2013,Getaway,4.1,Former race-car driver Brent Magna is pitted against the clock when his wife is kidnapped by a mysterious villain. He commandeers a young woman's car and takes her on on a high-speed race against time.,5400
2006,The Covenant,4.9,Four young men who belong to a supernatural legacy are forced to battle a fifth power long thought to have died out. Another great force they must contend with is the jealousy and suspicion that threatens to tear them apart.,5820
2012,Battleship,5.8,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,7860
2001,Ocean's Eleven,7.7,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,6960
2011,The Inbetweeners Movie,6.7,Four socially troubled 18-year-olds from the south of England go on holiday to Malia.,5820
2001,The Fast and the Furious,6.4,Los Angeles police officer Brian O'Connor must decide where his loyalties really lie when he becomes enamored with the street racing world he has been sent undercover to destroy.,6360
2005,Brokeback Mountain,7.6,The story of a forbidden and secretive relationship between two cowboys and their lives over the years.,8040
2013,Snitch,6.5,A father goes undercover for the DEA in order to free his son who was imprisoned after being set up in drug deal.,6720
2011,Fast Five,7.2,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,7800
1979,Alien,8.5,The space vessel Nostromo and its crew receive a distress call from a alien planet. After searching for survivors that planet they head back home only to realize that an deadly alien life form has joined them.,7020
2011,Abduction,4.8,A thriller centered on a young man who sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,6360
2012,Seven Psychopaths,7.2,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,6600
1990,Teenage Mutant Ninja Turtles,6.4,A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas.,5580
2004,Million Dollar Baby,8.1,A determined woman works with a hardened boxing trainer to become a professional.,7920
2012,Men in Black 3,6.9,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,6360
2012,The Company You Keep,6.3,A former Weather Underground activist goes on the run from a journalist who has discovered his identity.,7260
2004,King Arthur,6.2,A demystified take on the tale of King Arthur and the Knights of the Round Table.,7560
2012,Red Dawn,5.3,A group of teenagers look to save their town from an invasion of North Korean soldiers.,5580
2011,Melancholia,7.1,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,7800
2007,Zodiac,7.7,A San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac killer.,9420
2013,Dallas Buyers Club,7.5,,7020
2012,The Master,7.1,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.,8640
2000,X-Men,7.4,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,6240
2011,The Descendants,7.4,A land baron tries to re-connect with his two daughters after his wife is seriously injured in a boating accident.,6900
2002,The Ring,7.1,A young journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.,6900
2009,The Road,7.2,A post-apocalyptic tale of a man and his son trying to survive by any means possible.,6660
2013,Enemy,6.7,A man seeks out his exact look-alike after spotting him in a movie.,5400
1955,East of Eden,8,,6900
2003,Big Fish,8,A son tries to learn more about his dying father by reliving stories and myths he told about his life.,7500
2014,Interstellar,,A group of explorers make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,
2003,Kill Bill: Vol. 1,8.1,The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,6660
1999,The Sixth Sense,8.2,A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.,6420
2010,TRON: Legacy,6.8,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's creation turned bad and a unique ally who was born inside the digital domain of The Grid.,7620
2013,La migliore offerta,7.7,A story centered on an eccentric art auctioneer and his obsession with an heiress/collector.,7860
2011,Fright Night,6.4,A teenager suspects that his new neighbor is a vampire.,6360
2003,Lost in Translation,7.8,A faded movie star and a neglected young wife form an unlikely bond after crossing paths in Tokyo.,6060
2009,District 9,8,An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,6720
2012,Here Comes the Boom,6.4,A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school.,6300
2010,The Other Guys,6.6,Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned.,6420
2012,Parental Guidance,5.8,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,6300
2006,The Fast and the Furious: Tokyo Drift,5.7,Alabama teenager Sean Boswell becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,6240
2013,Saving Mr. Banks,,Author P. L. Travers reflects on her difficult childhood while meeting with filmmaker Walt Disney during production for the adaptation of her eponymous novel.,7500
2009,He's Just Not That Into You,6.3,The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,7740
1998,Fear and Loathing in Las Vegas,7.6,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,7080
1963,The Great Escape,8.3,Allied POWs plan for several hundred of their number to escape from a German camp during World War II.,10320
2002,My Big Fat Greek Wedding,6.5,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,5700
1994,The Little Rascals,5.9,,4920
2014,22 Jump Street,,Plot unknown.,
2012,The Lucky One,6.2,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,6060
2011,The Three Musketeers,5.7,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,6600
2011,Source Code,7.4,An action thriller centered on a soldier who wakes up in the body of an unknown man and discovers he's part of a mission to find the bomber of a Chicago commuter train.,5580
2003,Dumb and Dumberer: When Harry Met Lloyd,3.3,Set back in the 80s when Harry met Lloyd in high school where they cross paths with a mean principal and a bunch of other outcasts much like themselves.,5100
2010,The Expendables,6.4,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,6180
1997,Hercules,7,The son of the Greek Gods Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,5580
2013,Her,,A lonely writer develops an unlikely relationship with his newly-purchased operating system that's designed to meet his every need.,7200
2014,Fury,,A crew of Americans in Nazi Germany toward the end of World War II embark on a brave mission.,
1999,The Boondock Saints,7.8,Fraternal twins set out to rid Boston of the evil men operating there while being tracked down by an FBI agent.,6480
2013,A Single Shot,5.9,The tragic death of a beautiful young girl starts a tense and atmospheric game of cat and mouse between hunter John Moon and the hardened backwater criminals out for his blood.,6960
2014,How to Train Your Dragon 2,,,
2009,Sherlock Holmes,7.5,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,7680
2014,Sabotage,,Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,
2005,The Adventures of Sharkboy and Lavagirl 3-D,3.4,A boy dreams up shark-boy and lava-girl and the horror that lies within their planet.,5580
2005,Serenity,7.9,The crew of the ship Serenity tries to evade an assassin sent to recapture one of their number who is telepathic.,7140
2007,The Bourne Ultimatum,8.1,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,6900
2011,Contagion,6.7,The CDC races against time to develop a vaccine against an extremely lethal virus.,6360
2013,Blackfish,7.8,,4980
2013,In a World...,7.3,An underachieving voice coach finds herself competing in the movie trailer voice-over profession against her arrogant father and his protege.,5580
1997,Con Air,6.7,A newly released ex-con and former US Ranger finds himself trapped in a prisoner transport plane when the passengers seize control.,6900
2004,Harold & Kumar Go to White Castle,7.1,An Asian-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,5280
2000,Almost Famous,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies it on their concert tour.,7320
2012,This Means War,6.2,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,5820
1997,Lolita,6.7,A man marries his landlady so he can take advantage of her daughter.,8220
2002,The Pianist,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,9000
2013,Inside Llewyn Davis,7,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,6300
1995,Toy Story,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,4860
1988,Who Framed Roger Rabbit,7.6,A toon hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,6240
2011,Our Idiot Brother,6.4,A comedy centered on an idealist who barges into the lives of his three sisters.,5400
